date,Mal de gorge,Agueusie,Anosmie,Symptôme,Réaction en chaîne par polymérase
2020-09-06,,,,,
2020-09-07,,,,,
2020-09-08,,,,,
2020-09-09,58.285714285714285,7.285714285714286,13.857142857142858,56.285714285714285,45.0
2020-09-10,64.14285714285714,7.285714285714286,17.0,59.0,45.714285714285715
2020-09-11,62.714285714285715,7.285714285714286,19.714285714285715,58.285714285714285,43.714285714285715
2020-09-12,70.28571428571429,7.285714285714286,19.714285714285715,58.714285714285715,42.57142857142857
2020-09-13,73.85714285714286,9.571428571428571,19.714285714285715,60.142857142857146,42.714285714285715
2020-09-14,68.28571428571429,9.571428571428571,17.0,59.57142857142857,46.0
2020-09-15,67.0,9.571428571428571,14.142857142857142,59.57142857142857,44.285714285714285
2020-09-16,69.85714285714286,6.857142857142857,17.285714285714285,58.57142857142857,45.857142857142854
2020-09-17,65.57142857142857,6.857142857142857,17.285714285714285,57.714285714285715,48.857142857142854
2020-09-18,61.57142857142857,6.857142857142857,17.142857142857142,58.285714285714285,48.57142857142857
2020-09-19,53.42857142857143,4.571428571428571,22.428571428571427,57.0,50.857142857142854
2020-09-20,45.857142857142854,4.428571428571429,22.285714285714285,54.285714285714285,48.57142857142857
2020-09-21,49.42857142857143,5.428571428571429,23.428571428571427,54.0,51.57142857142857
2020-09-22,45.857142857142854,5.428571428571429,23.285714285714285,51.285714285714285,50.142857142857146
2020-09-23,43.857142857142854,8.0,20.142857142857142,50.285714285714285,49.857142857142854
2020-09-24,39.714285714285715,8.0,20.0,47.857142857142854,47.42857142857143
2020-09-25,43.0,8.0,20.0,46.142857142857146,46.857142857142854
2020-09-26,44.285714285714285,10.285714285714286,17.428571428571427,47.142857142857146,48.57142857142857
2020-09-27,42.0,8.142857142857142,17.571428571428573,47.285714285714285,50.0
2020-09-28,39.857142857142854,4.857142857142857,17.714285714285715,45.57142857142857,49.42857142857143
2020-09-29,37.42857142857143,8.285714285714286,17.857142857142858,47.714285714285715,48.714285714285715
2020-09-30,33.57142857142857,8.142857142857142,20.857142857142858,48.57142857142857,46.42857142857143
2020-10-01,34.57142857142857,8.142857142857142,23.714285714285715,49.285714285714285,46.42857142857143
2020-10-02,31.285714285714285,10.285714285714286,21.142857142857142,49.0,47.714285714285715
2020-10-03,31.571428571428573,10.285714285714286,23.857142857142858,49.285714285714285,48.285714285714285
2020-10-04,34.57142857142857,13.714285714285714,26.571428571428573,50.714285714285715,53.285714285714285
2020-10-05,39.42857142857143,18.142857142857142,28.0,53.57142857142857,56.285714285714285
2020-10-06,43.42857142857143,17.285714285714285,28.142857142857142,55.42857142857143,58.857142857142854
2020-10-07,43.714285714285715,20.285714285714285,28.428571428571427,56.714285714285715,60.857142857142854
2020-10-08,46.857142857142854,25.428571428571427,25.714285714285715,59.142857142857146,64.14285714285714
2020-10-09,51.857142857142854,25.714285714285715,31.428571428571427,62.142857142857146,67.0
